         377260 function calls (377141 primitive calls) in 0.178 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
     26/6    0.000    0.000    0.000    0.000 /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/re/_parser.py:178(getwidth)
        4    0.000    0.000    0.000    0.000 /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/socket.py:507(close)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x10c337cc0}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1223(_path_hooks)
        6    0.000    0.000    0.000    0.000 /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/asyncio/events.py:798(_get_event_loop_policy)
       78    0.000    0.000    0.000    0.000 /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/re/_parser.py:261(get)
        2    0.000    0.000    0.000    0.000 {built-in method math.log}
        1    0.000    0.000    0.000    0.000 /Users/pasha/PycharmProjects/IMHexMCP/lib/cache.py:777(get_stats)
        4    0.000    0.000    0.000    0.000 /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/socket.py:503(_real_close)
        1    0.000    0.000    0.000    0.000 /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/asyncio/events.py:787(_init_event_loop_policy)
        3    0.000    0.000    0.000    0.000 <frozen _collections_abc>:792(get)
        8    0.000    0.000    0.000    0.000 /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/re/_compiler.py:248(_optimize_charset)
        6    0.000    0.000    0.000    0.000 /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/asyncio/base_events.py:181(_run_until_complete_cb)
        2    0.000    0.000    0.000    0.000 /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/selectors.py:491(__init__)
      240    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:494(_verbose_message)
        1    0.000    0.000    0.000    0.000 /Users/pasha/PycharmProjects/IMHexMCP/lib/cache.py:74(to_dict)
       20    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        4    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        4    0.000    0.000    0.000    0.000 {function socket.close at 0x10bc31590}
        2    0.000    0.000    0.000    0.000 /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/asyncio/runners.py:207(_cancel_all_tasks)
        2    0.000    0.000    0.000    0.000 /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/selectors.py:517(unregister)
        3    0.000    0.000    0.000    0.000 <frozen os>:704(__getitem__)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        8    0.000    0.000    0.000    0.000 /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/signal.py:36(_enum_to_int)
        2    0.000    0.000    0.000    0.000 /Users/pasha/PycharmProjects/IMHexMCP/lib/cache.py:472(__init__)
        5    0.000    0.000    0.000    0.000 /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/re/_parser.py:98(closegroup)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:427(_classify_pyc)
        2    0.000    0.000    0.000    0.000 /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/weakref.py:104(__init__)
       92    0.000    0.000    0.000    0.000 /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/re/_parser.py:240(__next)
        2    0.000    0.000    0.000    0.000 {built-in method _asyncio.all_tasks}
       12    0.000    0.000    0.000    0.000 /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/asyncio/base_events.py:766(time)
